session_id,vehicle_model,battery_capacity_kwh,rated_range_km,battery_age_months,battery_degradation_pct,charger_type,charger_power_kw,session_start,start_soc_pct,target_soc_pct,energy_added_kwh,charge_duration_hrs,ambient_temp_c,driving_style,estimated_range_km,actual_range_km
1,Tata Nexon EV,40.5,312,6,0.9,DC Fast Charger,50.0,2026-01-01T12:06,19.6,80.6,24.7,0.49,32.2,Aggressive,248.7,218.9
2,Tata Nexon EV,40.5,312,42,6.3,Level 1 (Home),2.3,2026-01-01T17:50,13.3,80.8,27.34,11.89,27.3,Aggressive,251.2,221.1
3,Tesla Model 3,57.5,513,45,6.75,Level 1 (Home),2.3,2026-01-02T00:26,25.7,82.0,32.37,14.07,37.2,Eco,408.0,436.6
4,Hyundai Kona Electric,39.2,452,23,3.45,Level 1 (Home),2.3,2026-01-02T04:49,17.5,94.1,30.03,13.06,8.8,Normal,418.0,418.0
5,Tata Nexon EV,40.5,312,41,6.15,DC Fast Charger,50.0,2026-01-02T10:39,26.1,78.1,21.06,0.42,39.1,Normal,244.6,244.6
6,Hyundai Kona Electric,39.2,452,15,2.25,DC Fast Charger,50.0,2026-01-02T16:36,16.7,76.7,23.52,0.47,29.5,Eco,341.1,365.0
7,Tesla Model 3,57.5,513,18,2.7,Level 2 (AC Public),7.4,2026-01-03T00:32,25.9,95.9,40.25,5.44,11.0,Aggressive,488.4,429.8
8,Tata Nexon EV,40.5,312,41,6.15,DC Fast Charger,50.0,2026-01-03T07:09,32.2,88.4,22.76,0.46,14.1,Normal,275.4,275.4
9,MG ZS EV,50.3,461,26,3.9,DC Fast Charger,50.0,2026-01-03T13:39,21.3,94.2,36.67,0.73,7.1,Normal,413.2,413.2
10,MG ZS EV,50.3,461,30,4.5,DC Fast Charger,50.0,2026-01-03T16:48,40.7,82.9,21.23,0.42,29.3,Aggressive,384.6,338.4
11,MG ZS EV,50.3,461,26,3.9,Level 1 (Home),2.3,2026-01-03T18:56,36.1,88.5,26.36,11.46,32.6,Aggressive,409.0,359.9
12,MG ZS EV,50.3,461,44,6.6,DC Fast Charger,50.0,2026-01-03T22:50,27.3,93.9,33.5,0.67,36.9,Eco,435.5,466.0
13,Tata Nexon EV,40.5,312,44,6.6,Level 2 (AC Public),7.4,2026-01-04T03:13,23.4,99.9,30.98,4.19,24.6,Eco,303.1,324.3
14,BYD Atto 3,60.5,521,47,7.05,Level 2 (AC Public),7.4,2026-01-04T09:59,36.9,83.5,28.19,3.81,15.9,Eco,444.1,475.2
15,Hyundai Kona Electric,39.2,452,33,4.95,DC Fast Charger,50.0,2026-01-04T17:59,36.7,87.7,19.99,0.4,8.9,Aggressive,384.1,338.0
16,MG ZS EV,50.3,461,39,5.85,Level 2 (AC Public),7.4,2026-01-04T23:51,36.7,88.5,26.06,3.52,33.8,Eco,405.1,433.5
17,Tata Nexon EV,40.5,312,16,2.4,Level 1 (Home),2.3,2026-01-05T03:27,42.5,97.0,22.07,9.6,35.8,Eco,302.7,323.9
18,Tata Nexon EV,40.5,312,9,1.35,Level 1 (Home),2.3,2026-01-05T11:28,35.6,95.4,24.22,10.53,41.2,Eco,289.1,309.3
19,BYD Atto 3,60.5,521,47,7.05,Level 1 (Home),2.3,2026-01-05T17:45,19.3,96.8,46.89,20.39,20.7,Aggressive,513.2,451.6
20,Hyundai Kona Electric,39.2,452,16,2.4,Level 2 (AC Public),7.4,2026-01-06T00:16,44.8,91.2,18.19,2.46,21.2,Eco,411.8,440.6
21,Hyundai Kona Electric,39.2,452,4,0.6,Level 1 (Home),2.3,2026-01-06T03:04,30.6,80.8,19.68,8.56,13.1,Aggressive,372.0,327.4
22,Tata Nexon EV,40.5,312,47,7.05,Level 2 (AC Public),7.4,2026-01-06T05:54,12.5,81.0,27.74,3.75,29.8,Eco,257.1,275.1
23,BYD Atto 3,60.5,521,43,6.45,DC Fast Charger,50.0,2026-01-06T14:23,26.5,94.6,41.2,0.82,34.9,Eco,497.8,532.6
24,Tesla Model 3,57.5,513,4,0.6,Level 2 (AC Public),7.4,2026-01-06T18:50,26.3,93.2,38.47,5.2,29.9,Eco,464.6,497.1
25,Hyundai Kona Electric,39.2,452,30,4.5,Level 1 (Home),2.3,2026-01-06T23:03,18.7,79.8,23.95,10.41,21.6,Normal,362.4,362.4
26,Tata Nexon EV,40.5,312,1,0.15,Level 2 (AC Public),7.4,2026-01-07T02:03,38.3,96.4,23.53,3.18,8.6,Aggressive,290.7,255.8
27,MG ZS EV,50.3,461,25,3.75,Level 1 (Home),2.3,2026-01-07T10:48,24.2,87.0,31.59,13.73,37.0,Eco,386.0,413.0
28,Tesla Model 3,57.5,513,36,5.4,Level 2 (AC Public),7.4,2026-01-07T11:49,42.4,94.6,30.01,4.06,15.6,Aggressive,479.6,422.0
29,Tesla Model 3,57.5,513,48,7.2,Level 1 (Home),2.3,2026-01-07T18:07,16.6,80.4,36.69,15.95,7.2,Eco,394.6,422.2
30,Tata Nexon EV,40.5,312,6,0.9,DC Fast Charger,50.0,2026-01-07T21:37,26.7,98.0,28.88,0.58,24.7,Aggressive,314.1,276.4
31,Tata Nexon EV,40.5,312,16,2.4,DC Fast Charger,50.0,2026-01-08T05:26,12.4,96.5,34.06,0.68,19.9,Aggressive,293.3,258.1
32,Tata Nexon EV,40.5,312,14,2.1,DC Fast Charger,50.0,2026-01-08T11:04,12.9,91.4,31.79,0.64,25.9,Normal,288.3,288.3
33,Hyundai Kona Electric,39.2,452,1,0.15,Level 1 (Home),2.3,2026-01-08T17:25,19.3,78.3,23.13,10.06,28.9,Eco,354.8,379.6
34,BYD Atto 3,60.5,521,16,2.4,Level 1 (Home),2.3,2026-01-08T22:05,12.6,80.3,40.96,17.81,14.8,Eco,407.4,435.9
35,MG ZS EV,50.3,461,34,5.1,Level 2 (AC Public),7.4,2026-01-09T02:03,39.2,92.6,26.86,3.63,27.6,Aggressive,414.8,365.0
36,BYD Atto 3,60.5,521,48,7.2,Level 2 (AC Public),7.4,2026-01-09T03:06,42.6,77.6,21.17,2.86,37.5,Eco,403.3,431.5
37,Hyundai Kona Electric,39.2,452,33,4.95,Level 2 (AC Public),7.4,2026-01-09T08:32,31.2,92.9,24.19,3.27,12.5,Normal,412.5,412.5
38,Tata Nexon EV,40.5,312,41,6.15,Level 1 (Home),2.3,2026-01-09T13:27,32.2,95.7,25.72,11.18,6.6,Eco,291.7,312.1
39,MG ZS EV,50.3,461,10,1.5,DC Fast Charger,50.0,2026-01-09T22:17,25.5,92.6,33.75,0.68,25.8,Aggressive,437.1,384.6
40,Hyundai Kona Electric,39.2,452,23,3.45,DC Fast Charger,50.0,2026-01-10T03:39,29.3,85.7,22.11,0.44,6.5,Eco,377.6,404.0
41,MG ZS EV,50.3,461,48,7.2,DC Fast Charger,50.0,2026-01-10T06:20,13.6,94.5,40.69,0.81,37.7,Aggressive,430.7,379.0
42,MG ZS EV,50.3,461,22,3.3,Level 1 (Home),2.3,2026-01-10T08:34,44.2,95.3,25.7,11.17,37.6,Aggressive,444.5,391.2
43,Tesla Model 3,57.5,513,25,3.75,DC Fast Charger,50.0,2026-01-10T15:49,40.2,95.3,31.68,0.63,14.9,Eco,480.4,514.0
44,Tesla Model 3,57.5,513,15,2.25,Level 1 (Home),2.3,2026-01-10T23:48,17.0,98.0,46.58,20.25,17.9,Eco,493.3,527.8
45,MG ZS EV,50.3,461,33,4.95,Level 2 (AC Public),7.4,2026-01-11T00:59,21.5,96.6,37.78,5.11,40.8,Aggressive,439.5,386.8
46,BYD Atto 3,60.5,521,3,0.45,Level 2 (AC Public),7.4,2026-01-11T05:11,42.9,77.9,21.18,2.86,40.9,Normal,402.9,402.9
47,Tesla Model 3,57.5,513,37,5.55,Level 2 (AC Public),7.4,2026-01-11T07:03,35.5,82.8,27.2,3.68,27.4,Normal,424.5,424.5
48,Tata Nexon EV,40.5,312,48,7.2,DC Fast Charger,50.0,2026-01-11T09:34,25.3,88.0,25.39,0.51,34.8,Aggressive,269.3,237.0
49,Hyundai Kona Electric,39.2,452,47,7.05,Level 2 (AC Public),7.4,2026-01-11T15:56,12.4,91.6,31.05,4.2,17.2,Eco,418.7,448.0
50,BYD Atto 3,60.5,521,27,4.05,Level 2 (AC Public),7.4,2026-01-12T00:08,33.3,83.2,30.19,4.08,30.8,Eco,432.1,462.3
51,Tesla Model 3,57.5,513,20,3.0,DC Fast Charger,50.0,2026-01-12T06:27,36.2,79.4,24.84,0.5,26.1,Eco,409.6,438.3
52,Tesla Model 3,57.5,513,31,4.65,DC Fast Charger,50.0,2026-01-12T09:45,31.2,83.1,29.84,0.6,21.3,Aggressive,421.9,371.3
53,MG ZS EV,50.3,461,44,6.6,DC Fast Charger,50.0,2026-01-12T17:06,13.0,87.9,37.67,0.75,28.4,Eco,409.3,438.0
54,MG ZS EV,50.3,461,30,4.5,Level 1 (Home),2.3,2026-01-12T20:35,10.9,81.1,35.31,15.35,22.6,Eco,366.2,391.8
55,BYD Atto 3,60.5,521,1,0.15,Level 1 (Home),2.3,2026-01-13T00:54,35.1,84.6,29.95,13.02,19.8,Aggressive,450.3,396.3
56,Tata Nexon EV,40.5,312,16,2.4,Level 2 (AC Public),7.4,2026-01-13T09:03,17.7,95.1,31.35,4.24,30.7,Aggressive,297.3,261.6
57,Tata Nexon EV,40.5,312,29,4.35,Level 2 (AC Public),7.4,2026-01-13T17:23,14.7,86.6,29.12,3.94,24.7,Normal,269.2,269.2
58,BYD Atto 3,60.5,521,29,4.35,Level 2 (AC Public),7.4,2026-01-13T23:17,39.1,88.7,30.01,4.06,38.2,Normal,447.3,447.3
59,MG ZS EV,50.3,461,5,0.75,DC Fast Charger,50.0,2026-01-14T02:21,19.7,94.4,37.57,0.75,22.9,Normal,442.1,442.1
60,MG ZS EV,50.3,461,45,6.75,Level 2 (AC Public),7.4,2026-01-14T09:04,21.8,97.3,37.98,5.13,8.0,Normal,445.4,445.4
61,MG ZS EV,50.3,461,25,3.75,Level 1 (Home),2.3,2026-01-14T11:17,24.5,83.3,29.58,12.86,22.2,Normal,394.4,394.4
62,BYD Atto 3,60.5,521,20,3.0,DC Fast Charger,50.0,2026-01-14T19:32,10.7,97.0,52.21,1.04,26.3,Normal,506.1,506.1
63,Tesla Model 3,57.5,513,18,2.7,DC Fast Charger,50.0,2026-01-15T02:33,36.2,88.7,30.19,0.6,27.3,Eco,462.8,495.2
64,Tata Nexon EV,40.5,312,9,1.35,Level 2 (AC Public),7.4,2026-01-15T07:03,21.8,92.0,28.43,3.84,20.0,Normal,292.9,292.9
65,BYD Atto 3,60.5,521,9,1.35,Level 1 (Home),2.3,2026-01-15T15:53,41.7,89.8,29.1,12.65,29.5,Normal,479.8,479.8
66,MG ZS EV,50.3,461,18,2.7,Level 1 (Home),2.3,2026-01-15T23:49,19.1,83.2,32.24,14.02,21.8,Normal,387.3,387.3
67,Tesla Model 3,57.5,513,15,2.25,Level 2 (AC Public),7.4,2026-01-16T06:50,39.2,86.8,27.37,3.7,32.7,Normal,456.6,456.6
68,Tata Nexon EV,40.5,312,31,4.65,Level 1 (Home),2.3,2026-01-16T13:02,43.2,80.0,14.9,6.48,5.8,Eco,245.7,262.9
69,BYD Atto 3,60.5,521,46,6.9,Level 1 (Home),2.3,2026-01-16T19:24,26.3,81.4,33.34,14.5,18.6,Aggressive,421.4,370.8
70,MG ZS EV,50.3,461,26,3.9,Level 2 (AC Public),7.4,2026-01-16T21:19,13.8,75.6,31.09,4.2,16.5,Normal,344.8,344.8
71,MG ZS EV,50.3,461,44,6.6,Level 1 (Home),2.3,2026-01-17T05:51,30.7,95.8,32.75,14.24,14.0,Normal,434.8,434.8
72,Tata Nexon EV,40.5,312,42,6.3,DC Fast Charger,50.0,2026-01-17T11:39,37.4,83.7,18.75,0.38,20.8,Aggressive,263.2,231.6
73,Tesla Model 3,57.5,513,10,1.5,Level 2 (AC Public),7.4,2026-01-17T15:23,13.7,99.0,49.05,6.63,28.5,Aggressive,498.0,438.2
74,BYD Atto 3,60.5,521,47,7.05,DC Fast Charger,50.0,2026-01-17T19:52,19.5,95.2,45.8,0.92,24.9,Normal,496.5,496.5
